N_SOLICITUD,f_3pva18m,mes_solicitud,edad,suma_saldo_vencido_open,suma_saldo_actual_open,razon_monto_apagar_saldo_actual_open,razon_monto_apagar_limite_credito_open,razon_monto_apagar_saldo_vencido_open,razon_maximo_saldo_maxima_mora_maximo_credito_masalto_open,razon_saldo_vencido_saldo_actual_open,suma_ponderada_pagos_12m_open,suma_ponderada_pagos_18m_open,suma_ponderada_pagos_24m_open,r_sumapd_sumcl_open,r_sumcb_sumcl_open,r_sumhhda_sumhc_open,utilizacion_maximo_limite_open,utilizacion_open,max_antiguedad_cuenta_meses_open,min_antiguedad_cuenta_meses_open,promedio_antiguedad_cuenta_meses_open,max_mop_tc_ult_12m_open,max_mop_tc_ult_18m_open,max_mop_tc_ult_24m_open,num_ctas_antig_12m_open,num_ctas_antig_18m_open,num_ctas_antig_24m_open,suma_saldo_vencido_ban_all,suma_saldo_actual_ban_all,razon_monto_apagar_saldo_actual_ban_all,razon_monto_apagar_limite_credito_ban_all,razon_monto_apagar_saldo_vencido_ban_all,razon_maximo_saldo_maxima_mora_maximo_credito_masalto_ban_all,razon_saldo_vencido_saldo_actual_ban_all,suma_ponderada_pagos_12m_ban_all,suma_ponderada_pagos_18m_ban_all,suma_ponderada_pagos_24m_ban_all,r_sumapd_sumcl_ban_all,r_sumcb_sumcl_ban_all,r_sumhhda_sumhc_ban_all,utilizacion_maximo_limite_ban_all,utilizacion_ban_all,max_antiguedad_cuenta_meses_ban_all,min_antiguedad_cuenta_meses_ban_all,promedio_antiguedad_cuenta_meses_ban_all,max_mop_tc_ult_12m_ban_all,max_mop_tc_ult_18m_ban_all,max_mop_tc_ult_24m_ban_all,num_ctas_antig_12m_ban_all,num_ctas_antig_18m_ban_all,num_ctas_antig_24m_ban_all,n_cons6meses_all,n_cons9meses_all,n_cons12meses_all
201807876401516.0,0,2018-08-01,66.0,0.0,66625.06742,0.028689421,0.010932014,,0.013507777,0.0,0.51986081,0.445397186,0.401809512,0.0,0.381046883,0.01259689,1.0,0.381046883,192.5245902,14.45901639,71.40327869,2.0,2.0,2.0,0.0,2.0,3.0,0.0,889.4974935,0.488367765,0.003894909,,0.0,0.0,0.526020809,0.463941812,0.435670371,0.0,0.00797536,0.0,0.089088067,0.00797536,330.0983607,0.524590164,97.80737705,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0
201808877453605.0,1,2018-08-01,49.0,0.0,15102.83692,0.055764521,0.145718449,,0.003491228,0.0,0.509764846,0.477243638,0.477461072,0.0,2.613103232,0.002146733,1.676470588,2.613103232,35.80327869,3.639344262,16.05464481,1.0,2.0,2.0,2.0,2.0,2.0,0.0,5619.472069,0.0,0.0,,0.0,0.0,0.510694642,0.510694642,0.510694642,0.0,1.000852941,0.0,1.029382353,1.000852941,8.721311475,8.721311475,8.721311475,1.0,1.0,1.0,1.0,1.0,1.0,6.0,8.0,9.0
201808878551392.0,0,2018-08-01,29.0,0.0,157.3960086,6.969633508,0.091053352,,0.339103928,0.0,0.572311627,0.480734955,0.434729481,0.0,0.013064295,0.199681647,0.86935,0.013064295,111.7704918,3.344262295,43.96252927,2.0,2.0,2.0,2.0,2.0,2.0,0.0,59.3325268,0.694444444,0.002818489,,0.0,0.0,0.600662471,0.548449644,0.485317744,0.0,0.004058625,0.0,0.560870968,0.004058625,87.73770492,6.0,31.51639344,1.0,1.0,1.0,2.0,2.0,3.0,4.0,7.0,8.0
201809878935537.0,0,2018-09-01,41.0,0.0,0.0,,0.0,,,,0.519615014,0.434411176,0.381169124,0.0,0.0,,1.10443662,0.0,136.2295082,136.2295082,136.2295082,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.028672235,,0.610208983,0.511042635,0.518576932,0.0,0.0,0.007258229,1.10443662,0.0,136.2295082,22.2295082,86.12568306,1.0,1.0,2.0,0.0,0.0,1.0,13.0,15.0,15.0
201809879783498.0,0,2018-09-01,36.0,0.0,19896.811,0.051902057,0.016655231,,0.0,0.0,0.52883429,0.449756667,0.411474072,0.0,0.320897321,0.0,1.0,0.320897321,53.18032787,3.081967213,28.48087432,1.0,1.0,1.0,1.0,3.0,3.0,0.0,4174.434127,0.055087747,0.014543943,,,0.0,0.706569728,0.706569728,0.706569728,0.0,0.264014128,,1.0,0.264014128,108.1311475,3.081967213,64.06557377,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0
201809880061412.0,0,2018-09-01,52.0,0.0,13336.65503,0.011848808,0.005801554,,0.0,0.0,0.514755049,0.435570349,0.384179778,0.0,0.489631906,0.0,1.0,0.489631906,143.6721311,0.885245902,68.20765027,1.0,1.0,1.0,1.0,1.0,1.0,0.0,258.2854913,0.579415502,0.014817222,,0.065045771,0.0,0.600662471,0.525849366,0.470502748,0.0,0.025572705,0.021891208,1.194882087,0.025572705,143.6721311,59.40983607,96.49180328,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0
201809880214936.0,0,2018-09-01,30.0,0.0,42370.46228,0.107996655,0.121741598,,0.104451346,0.0,0.517348221,0.446161819,0.406071212,0.0,1.127271934,0.020958569,1.2075,1.127271934,104.2622951,6.163934426,46.58122206,1.0,3.0,3.0,1.0,2.0,4.0,0.0,12226.43233,0.066825007,0.032464146,,0.028602483,0.0,0.498129953,0.442232003,0.403503896,0.0,0.485808344,0.007042452,1.04990991,0.485808344,104.2622951,0.983606557,41.86156648,1.0,1.0,1.0,1.0,1.0,3.0,13.0,22.0,31.0
201809880415940.0,0,2018-09-01,27.0,0.0,4654.090195,0.020790021,0.014322126,,0.0,0.0,0.540278908,0.459417812,0.405536716,0.0,0.688894283,0.0,2.0,0.688894283,36.78688525,3.672131148,21.24590164,1.0,1.0,1.0,1.0,1.0,2.0,0.0,519.2166587,0.0,0.0,,0.0,0.0,0.639465596,0.639465596,0.639465596,0.0,0.221398601,0.0,0.606923077,0.221398601,3.672131148,3.672131148,3.672131148,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0
900211100808093.0,0,2017-07-01,24.0,0.0,23944.83218,0.002438316,0.002369635,,0.0,0.0,0.525174056,0.470398909,0.447122847,0.0,0.971832377,0.0,1.061396552,0.971832377,22.26229508,2.327868852,12.58196721,1.0,1.0,1.0,4.0,6.0,8.0,0.0,23944.83218,0.002438316,0.0024,,0.0,0.0,0.524010943,0.455127366,0.427763817,0.0,0.984285714,0.0,1.061396552,0.984285714,22.26229508,2.327868852,13.70491803,1.0,1.0,1.0,2.0,4.0,6.0,8.0,14.0,14.0
900211100824686.0,0,2017-08-01,29.0,0.0,43.17323188,1.996,0.006706989,,0.0,0.0,0.508507247,0.462916582,0.429222589,0.0,0.003360215,0.0,0.830330189,0.003360215,41.67213115,6.196721311,26.57923497,1.0,1.0,1.0,1.0,1.0,1.0,0.0,43.17323188,1.0,0.00400641,,0.0,0.0,0.500991861,0.493570214,0.460516571,0.0,0.00400641,0.0,0.830330189,0.00400641,41.67213115,6.196721311,26.21857923,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
