f_3pva18m,mes_solicitud,edad,suma_saldo_vencido_open,suma_saldo_actual_open,razon_monto_apagar_saldo_actual_open,razon_monto_apagar_limite_credito_open,razon_monto_apagar_saldo_vencido_open,razon_maximo_saldo_maxima_mora_maximo_credito_masalto_open,razon_saldo_vencido_saldo_actual_open,suma_ponderada_pagos_12m_open,suma_ponderada_pagos_18m_open,suma_ponderada_pagos_24m_open,r_sumapd_sumcl_open,r_sumcb_sumcl_open,r_sumhhda_sumhc_open,utilizacion_maximo_limite_open,utilizacion_open,max_antiguedad_cuenta_meses_open,min_antiguedad_cuenta_meses_open,promedio_antiguedad_cuenta_meses_open,max_mop_tc_ult_12m_open,max_mop_tc_ult_18m_open,max_mop_tc_ult_24m_open,num_ctas_antig_12m_open,num_ctas_antig_18m_open,num_ctas_antig_24m_open,suma_saldo_vencido_ban_all,suma_saldo_actual_ban_all,razon_monto_apagar_saldo_actual_ban_all,razon_monto_apagar_limite_credito_ban_all,razon_monto_apagar_saldo_vencido_ban_all,razon_maximo_saldo_maxima_mora_maximo_credito_masalto_ban_all,razon_saldo_vencido_saldo_actual_ban_all,suma_ponderada_pagos_12m_ban_all,suma_ponderada_pagos_18m_ban_all,suma_ponderada_pagos_24m_ban_all,r_sumapd_sumcl_ban_all,r_sumcb_sumcl_ban_all,r_sumhhda_sumhc_ban_all,utilizacion_maximo_limite_ban_all,utilizacion_ban_all,max_antiguedad_cuenta_meses_ban_all,min_antiguedad_cuenta_meses_ban_all,promedio_antiguedad_cuenta_meses_ban_all,max_mop_tc_ult_12m_ban_all,max_mop_tc_ult_18m_ban_all,max_mop_tc_ult_24m_ban_all,num_ctas_antig_12m_ban_all,num_ctas_antig_18m_ban_all,num_ctas_antig_24m_ban_all,n_cons6meses_all,n_cons9meses_all,n_cons12meses_all
0,201808,26.0,0.0,169.8197023,0.099415205,0.006219512,,0.154149695,0.0,0.768491132,0.630903595,0.613720928,0.0,0.062560976,0.083597957,0.95804878,0.062560976,26.2295082,12.8852459,19.55737705,4.0,4.0,4.0,0.0,1.0,1.0,0.0,169.8197023,0.099415205,0.004146341,,0.154149695,0.0,0.703206633,0.618199575,0.606246534,0.0,0.041707317,0.054202847,0.95804878,0.041707317,26.2295082,9.147540984,16.08743169,4.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0
1,201808,45.0,0.0,10786.60814,0.022789971,0.017290698,,0.021085714,0.0,0.499615619,0.461020102,0.436656325,0.0,0.758697674,0.019189017,1.0,0.758697674,117.3770492,11.93442623,51.16721311,2.0,2.0,2.0,1.0,2.0,2.0,0.0,213.9202876,0.0,0.0,,0.244209133,0.0,0.459480307,0.454375087,0.454375087,0.0,0.080875,0.244209133,0.711058824,0.080875,32.03278689,11.93442623,21.98360656,2.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0
1,201808,44.0,523.0788139,32958.75659,0.03293949,0.019237694,2.075489577,0.013592347,0.015870708,0.674082034,0.611283819,0.57005194,0.009268991,0.584031338,0.006395158,1.032666667,0.584031338,68.16393443,2.852459016,21.04321908,2.0,2.0,3.0,6.0,7.0,7.0,0.0,1818.219314,0.0459791,0.037481481,,0.0,0.0,0.45676114,0.45676114,0.45676114,0.0,0.815185185,0.0,0.925407407,0.815185185,6.68852459,6.68852459,6.68852459,1.0,1.0,1.0,1.0,1.0,1.0,9.0,13.0,13.0
1,201808,38.0,0.0,21263.97096,0.024054503,0.014570203,,0.009347005,0.0,0.524249094,0.489605932,0.477023787,0.0,0.605716219,0.004880689,1.0335625,0.605716219,20.32786885,4.295081967,11.12786885,1.0,1.0,1.0,3.0,4.0,5.0,0.0,1498.348156,0.075542341,0.0686,,0.0,0.0,0.440358977,0.440358977,0.440358977,0.0,0.9081,0.0,0.9221,0.9081,11.63934426,11.63934426,11.63934426,1.0,1.0,1.0,1.0,1.0,1.0,6.0,8.0,11.0
1,201809,61.0,0.0,146631.3105,0.017682131,0.024779771,,0.001372382,0.0,0.557175144,0.507417489,0.480607378,0.0,1.401401884,0.001020676,1.048703404,1.401401884,176.1311475,2.62295082,35.83606557,2.0,2.0,2.0,5.0,5.0,5.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,10.55737705,10.55737705,10.55737705,0.0,0.0,0.0,1.0,1.0,1.0,6.0,8.0,15.0
1,201809,46.0,0.0,149.6679326,0.778265642,0.005703942,,,0.0,0.553216588,0.498989133,0.455166055,0.0,0.007329043,,1.0,0.007329043,84.16393443,12.85245902,41.43169399,1.0,1.0,1.0,0.0,1.0,1.0,0.0,149.6679326,0.778265642,0.002863489,,,0.0,0.6011705,0.544975999,0.498756995,0.0,0.003679321,,1.0,0.003679321,85.04918033,12.85245902,60.79625293,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0
0,201809,55.0,0.0,0.0,,0.0,,0.0,,0.461880013,0.400994931,0.358747411,0.0,0.0,0.0,0.596481283,0.0,69.14754098,13.60655738,40.16393443,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,0.026700519,,0.520361257,0.458835395,0.412888474,0.0,0.0,0.01408057,0.383336898,0.0,66.36065574,13.60655738,36.49726776,1.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,3.0
0,201808,34.0,0.0,621.5136278,0.066577896,0.012112403,,0.0,0.0,0.493900927,0.44766151,0.420428386,0.0,0.181928295,0.0,1.0,0.181928295,30.85245902,20.19672131,26.49180328,1.0,1.0,1.0,0.0,0.0,1.0,,552.824372,0.074850299,0.025,,,,0.501850408,0.423952812,0.374087325,,0.334,,1.0,0.334,28.42622951,28.42622951,28.42622951,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0
0,201808,61.0,0.0,25456.80792,0.055690701,0.030642657,,0.007486388,0.0,0.531659855,0.466416392,0.436849781,0.0,0.550229329,0.004746603,1.099800399,0.550229329,146.2295082,9.147540984,41.3852459,2.0,2.0,2.0,3.0,4.0,4.0,0.0,9146.814142,0.053313835,0.020281593,,0.055,0.0,0.607951603,0.521708019,0.473174036,0.0,0.380418956,0.013724267,0.857142857,0.380418956,100.1967213,5.475409836,41.40983607,1.0,1.0,1.0,1.0,2.0,3.0,6.0,6.0,11.0
0,201808,58.0,0.0,14660.25143,0.04622633,0.006822093,,0.0,0.0,0.496271543,0.461829135,0.456424172,0.0,0.14758024,0.0,0.330205128,0.14758024,106.5901639,1.508196721,24.66666667,1.0,1.0,1.0,4.0,4.0,5.0,0.0,14660.25143,0.04622633,0.005390825,,0.0,0.0,0.532203173,0.505058307,0.498932917,0.0,0.116618061,0.0,0.330205128,0.116618061,21.47540984,0.229508197,6.135831382,1.0,1.0,1.0,6.0,6.0,7.0,9.0,12.0,14.0
