mes_solicitud,edad,suma_saldo_vencido_open,suma_saldo_actual_open,razon_monto_apagar_saldo_actual_open,razon_monto_apagar_limite_credito_open,razon_monto_apagar_saldo_vencido_open,razon_maximo_saldo_maxima_mora_maximo_credito_masalto_open,razon_saldo_vencido_saldo_actual_open,suma_ponderada_pagos_12m_open,suma_ponderada_pagos_18m_open,suma_ponderada_pagos_24m_open,r_sumapd_sumcl_open,r_sumcb_sumcl_open,r_sumhhda_sumhc_open,utilizacion_maximo_limite_open,utilizacion_open,max_antiguedad_cuenta_meses_open,min_antiguedad_cuenta_meses_open,promedio_antiguedad_cuenta_meses_open,max_mop_tc_ult_12m_open,max_mop_tc_ult_18m_open,max_mop_tc_ult_24m_open,num_ctas_antig_12m_open,num_ctas_antig_18m_open,num_ctas_antig_24m_open,suma_saldo_vencido_ban_all,suma_saldo_actual_ban_all,razon_monto_apagar_saldo_actual_ban_all,razon_monto_apagar_limite_credito_ban_all,razon_monto_apagar_saldo_vencido_ban_all,razon_maximo_saldo_maxima_mora_maximo_credito_masalto_ban_all,razon_saldo_vencido_saldo_actual_ban_all,suma_ponderada_pagos_12m_ban_all,suma_ponderada_pagos_18m_ban_all,suma_ponderada_pagos_24m_ban_all,r_sumapd_sumcl_ban_all,r_sumcb_sumcl_ban_all,r_sumhhda_sumhc_ban_all,utilizacion_maximo_limite_ban_all,utilizacion_ban_all,max_antiguedad_cuenta_meses_ban_all,min_antiguedad_cuenta_meses_ban_all,promedio_antiguedad_cuenta_meses_ban_all,max_mop_tc_ult_12m_ban_all,max_mop_tc_ult_18m_ban_all,max_mop_tc_ult_24m_ban_all,num_ctas_antig_12m_ban_all,num_ctas_antig_18m_ban_all,num_ctas_antig_24m_ban_all,n_cons6meses_all,n_cons9meses_all,n_cons12meses_all,f_3pva18m
201708,51.0,0.0,40846.61991,0.006141867,0.006682949,,0.0,0.0,0.509265694,0.442376004,0.424891254,0.0,1.088097176,0.0,1.0,1.088097176,112.5901639,2.06557377,39.04918033,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,2.06557377,2.06557377,2.06557377,0.0,0.0,0.0,1.0,1.0,1.0,6.0,6.0,6.0,0
201708,51.0,0.0,8311.319309,0.096931674,0.022287821,,0.017033397,0.0,0.513373396,0.432588158,0.389789913,0.0,0.229933318,0.005234299,0.471210526,0.229933318,139.7704918,17.90163934,75.17486339,1.0,1.0,2.0,0.0,1.0,1.0,0.0,3095.097533,0.0,0.0,,0.013612185,0.0,0.535797927,0.451551429,0.397084203,0.0,0.118952349,0.003727663,0.736423358,0.118952349,136.6557377,35.80327869,70.89929742,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0
201708,61.0,0.0,1964.690943,0.254320988,0.002636053,,0.0,0.0,0.504924288,0.439683319,0.393356479,0.0,0.010365062,0.0,0.434217391,0.010365062,311.6393443,10.32786885,109.8237705,1.0,1.0,1.0,2.0,4.0,4.0,0.0,56.48053327,4.613496933,0.00075,,0.0,0.0,0.541900413,0.470218981,0.419411175,0.0,0.000162,0.0,0.334759777,0.000162,311.6393443,2.491803279,71.64871194,1.0,1.0,1.0,10.0,10.0,14.0,2.0,4.0,8.0,0
201708,44.0,0.0,92085.60665,0.103788612,0.066279184,,0.007165412,0.0,0.596446541,0.503520348,0.444123829,0.0,0.63859785,0.000797,1.0,0.63859785,228.6557377,4.393442623,62.67622951,2.0,2.0,2.0,8.0,8.0,8.0,0.0,12394.98571,0.0,0.0,,0.012926407,0.0,0.567837166,0.481027547,0.423342085,0.0,0.257900433,0.002683526,1.014288889,0.257900433,228.6557377,19.93442623,102.3565574,1.0,1.0,1.0,0.0,0.0,2.0,6.0,6.0,6.0,0
201708,64.0,0.0,93288.71467,0.033391241,0.020370661,,0.064727854,0.0,0.785280026,0.767730017,0.756902516,0.0,0.610060018,0.030083063,1.0,0.610060018,115.1803279,15.83606557,61.40437158,9.0,9.0,9.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,,0.563379878,0.563379878,0.563379878,0.0,0.0,0.0,1.342176871,0.0,92.45901639,15.83606557,54.14754098,1.0,1.0,1.0,0.0,2.0,2.0,2.0,4.0,4.0,0
201708,33.0,0.0,4446.890423,0.117564622,0.012499897,,,0.0,0.627542666,0.627542666,0.627542666,0.0,0.106323623,,0.116349338,0.106323623,11.44262295,9.868852459,10.6557377,1.0,1.0,1.0,4.0,4.0,4.0,0.0,4446.890423,0.117564622,0.003864047,,0.0,0.0,0.533156999,0.524927064,0.47925166,0.0,0.03286743,0.0,0.116349338,0.03286743,45.31147541,9.967213115,19.4557377,1.0,1.0,1.0,6.0,6.0,8.0,4.0,4.0,8.0,0
201708,53.0,0.0,145446.4348,0.008927101,0.012639405,,0.01031689,0.0,0.534921576,0.454259368,0.407140036,0.0,1.41584657,0.003056313,4.529788889,1.41584657,65.18032787,5.475409836,34.15797317,1.0,1.0,1.0,2.0,4.0,8.0,0.0,9088.210667,0.044006418,0.009648241,,,0.0,0.598266197,0.502762569,0.440247102,0.0,0.219246231,,0.709226667,0.219246231,46.8852459,14.98360656,31.20491803,1.0,1.0,1.0,0.0,2.0,2.0,6.0,6.0,6.0,0
201708,42.0,19.71158164,20.7490333,0.033333333,0.000667,0.035087719,0.081896552,0.95,1.190083443,0.958563457,0.811139359,0.019006335,0.020006669,0.040948276,0.232077359,0.020006669,72.16393443,18.06557377,45.1147541,2.0,2.0,2.0,0.0,0.0,2.0,19.71158164,20.7490333,0.033333333,0.000667,0.035087719,0.081896552,0.95,2.531020299,2.531020299,2.531020299,0.019006335,0.020006669,0.040948276,0.232077359,0.020006669,18.06557377,18.06557377,18.06557377,2.0,2.0,2.0,0.0,0.0,2.0,4.0,4.0,4.0,0
201708,52.0,218.266861,8422.675646,0.063633746,0.03523918,2.455555556,0.025324597,0.025914195,0.738208405,0.636705134,0.615979691,0.014350797,0.553781321,0.008850055,0.860795848,0.553781321,71.1147541,5.278688525,33.14754098,3.0,3.0,3.0,2.0,2.0,4.0,0.0,6992.161568,0.0,0.0,,,0.0,0.739465596,0.739465596,0.739465596,0.0,0.6983391,,0.860795848,0.6983391,5.278688525,5.278688525,5.278688525,1.0,1.0,1.0,2.0,2.0,2.0,10.0,14.0,16.0,0
201708,25.0,0.0,110884.4036,0.008211153,0.007520847,,0.0,0.0,0.540424359,0.458228671,0.4154636,0.0,0.915930651,0.0,1.0,0.915930651,55.08196721,0.721311475,25.57377049,1.0,1.0,1.0,2.0,2.0,6.0,0.0,0.0,,0.0,,,,0.5,0.5,0.5,0.0,0.0,,,0.0,23.08196721,23.08196721,23.08196721,1.0,1.0,1.0,0.0,0.0,2.0,4.0,4.0,4.0,0
